slug,name,h1,seo_title,seo_description,full_gost_name,grade,group_name,thickness_mm,width_mm,state,surface,gost,price_per_kg,lead_time,image_filename
lenta-0-01x3-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,01х3 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,01х3 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.01,3,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-01x3-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-01x5-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,01х5 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,01х5 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.01,5,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-01x5-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-01x8-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,01х8 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,01х8 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.01,8,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-01x8-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-01x10-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,01х10 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,01х10 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.01,10,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-01x10-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-01x15-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,01х15 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,01х15 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.01,15,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-01x15-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-01x20-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,01х20 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,01х20 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.01,20,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-01x20-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-01x25-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,01х25 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,01х25 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.01,25,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-01x25-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-01x30-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,01х30 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,01х30 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.01,30,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-01x30-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-01x40-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,01х40 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,01х40 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.01,40,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-01x40-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-01x50-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,01х50 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,01х50 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.01,50,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-01x50-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-01x60-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,01х60 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,01х60 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.01,60,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-01x60-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-01x75-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,01х75 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,01х75 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.01,75,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-01x75-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-01x80-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,01х80 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,01х80 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.01,80,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-01x80-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-01x100-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,01х100 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,01х100 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.01,100,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-01x100-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-01x120-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,01х120 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,01х120 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.01,120,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-01x120-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-01x150-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,01х150 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,01х150 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.01,150,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-01x150-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-01x200-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,01х200 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,01х200 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.01,200,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-01x200-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-01x250-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,01х250 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,01х250 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.01,250,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-01x250-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-015x3-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,015х3 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,015х3 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.015,3,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-015x3-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-015x5-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,015х5 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,015х5 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.015,5,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-015x5-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-015x8-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,015х8 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,015х8 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.015,8,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-015x8-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-015x10-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,015х10 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,015х10 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.015,10,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-015x10-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-015x15-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,015х15 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,015х15 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.015,15,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-015x15-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-015x20-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,015х20 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,015х20 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.015,20,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-015x20-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-015x25-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,015х25 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,015х25 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.015,25,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-015x25-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-015x30-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,015х30 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,015х30 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.015,30,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-015x30-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-015x40-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,015х40 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,015х40 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.015,40,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-015x40-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-015x50-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,015х50 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,015х50 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.015,50,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-015x50-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
lenta-0-015x60-mm-12kh18n10t-nagartovannaya-gost-4986-79,"Лента 0,015х60 мм 12Х18Н10Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,015х60 12Х18Н10Т-Н-НТ-3-В ГОСТ 4986-79",12Х18Н10Т,Коррозионно-стойкие стали,0.015,60,Нагартованная,Обычная,ГОСТ 4986-79,от 13000,Под заказ,lenta-0-015x60-mm-12kh18n10t-nagartovannaya-gost-4986-79.jpg
